OBJECTID,Station_ID,Feature_Origin,Notes,Mode_Observation,Slip_Sense,Scarp_Facing_Direction,Local_Fault_Dip,Local_Fault_Azimuth_Degrees,Slip_Azimuth,Fault_Slip_Measurement_Type,Heave_cm,Heave_min_cm,Heave_max_cm,Rupture_Expression,Rupture_Width_m,Rupture_Width_Min_m,Rupture_Width_Max_m,VM_Slip_Azimuth,Plunge,Net_Slip_Preferred_cm,Net_Slip_Min_cm,Net_Slip_Max_cm,Vector_Offset_Feature_Notes,Horizontal_Separation_cm,Horizontal_Separation_Min_cm,Horizontal_Separation_Max_cm,Vertical_Separation_cm,Vertical_Separation_Min_cm,Vertical_Separation_Max_cm,Slip_Offset_Feature_Notes,GlobalID,CreationDate,Creator,EditDate,Editor,fault_az_min_L,fault_az_max_L,fault_dip_min_L,fault_dip_max_L,local_frac_az_min_L,local_frac_az_max_L,striations_observed_L,gouge_observed_L,vect_plunge_min_L,vect_plunge_max_L,vect_az_min_L,vect_az_max_L,horiz_az_min_L,horiz_az_max_L,_Compiler_Note,_aperture_max,_aperture_min,_aperture_pref,_citation,_feature_type,_heave_type,_latitude,_longitude,_obs_affiliation,_obs_position,_observed_feature,_orig_lat,_orig_lon,_source,_team,_team_id,_vert_slip_type
587,C2_5,Tectonic,"Source: Ridgecrest 2019; Minor fault trending N7E, with apparent left-lateral offset, forming local tensional grabens and compressional zones. Local down to east component up to 2 cm. No additional fractures observed on trend to ESE to channel - about 150 m (0.06 mile)",,Left - Normal,East,,,22.0,Offset,,,,,,,,,,,,,,5.0,,,,,2.0,,,2019-07-17T09:11:35-07,B. Swanson,,,,,,,,,No,No,,,,,,,,,,,,,,35.64117533,-117.4708937,CGS,At Site,,35.64117533,-117.4708937,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',Separation
588,PB1006 (C1_752),Tectonic,Source: Ridgecrest 2019; 22 m approximately over 3 fault strands. 3.2 cm observed on desert pavement on terrace. N32E trend for fault,,Left,,,,55.0,Offset,,,,,22.0,,,55.0,,3.200000048,,,,3.200000048,,,,,,,,2019-07-17T09:19:25-07,P. Burgess,,,,,,,,,,,,,,,,,,,,,,Natural,,35.64672649,-117.4675855,CGS,At Site,Desert pavement,35.64672649,-117.4675855,Uncertain,"S. Bennett/USGS
P. Burgess/CGS
B. Olson/CGS",'07/17-4',
589,C2_7,Tectonic,"Source: Ridgecrest 2019; Fracture trending N7W, on NE margin of left-stepping fracture zone",,Right,,,353.0,320.0,Offset,,,,,,,,,,,,,,2.0,,,,,,,,2019-07-17T09:25:14-07,B. Swanson,,,,,,,,,No,No,,,,,,,,,,,,,,35.64049623,-117.4702683,CGS,At Site,,35.64049623,-117.4702683,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',
590,C2_10,Tectonic,Source: Ridgecrest 2019; nan,,Normal,West,,,,,,,,Scarp,25.0,,30.0,,,,,,,,,,7.0,,,,,2019-07-17T09:39:35-07,T. Ladinsky,,,322.0,328.0,,,,,No,No,,,,,,,,,,,,,,35.64200367,-117.4727359,CGS,At Site,,35.64200367,-117.4727359,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',Separation
591,C2_12,Tectonic,"Source: Ridgecrest 2019; Small right stepping zone of fractures up to 1.5 m wide trending N12E, left-lateral slip less than 1 cm, vector N40E",,Left,,,,40.0,Offset,,,,,1.5,,,40.0,,1.0,,,,,,1.0,,,,,,2019-07-17T09:54:45-07,B. Swanson,,,,,,,,,No,No,,,,,,,,,,,,,,35.63929711,-117.4690701,CGS,At Site,,35.63929711,-117.4690701,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',
592,C2_14,Tectonic,Source: Ridgecrest 2019; nan,,Normal,West,,,,,,,,Scarp,4.0,,,,,,,,,,,,14.0,10.0,18.0,,,2019-07-17T09:58:50-07,T. Ladinsky,,,,,,,,,No,No,,,,,,,,,,,,,,35.64250013,-117.4735385,CGS,At Site,,35.64250013,-117.4735385,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',Separation
593,C2_15,Tectonic,Source: Ridgecrest 2019; Minor fault trending N18E in right stepping zone with left-lateral slip. Small boulders displaced up to 20 cm by gm.,,Left,,,18.0,80.0,Offset,,,,,,,,80.0,,1.0,,,,1.0,,,,,,,,2019-07-17T10:04:37-07,B. Swanson,,,,,,,,,No,No,,,,,,,,,,,,,,35.63863687,-117.4691401,CGS,At Site,,35.63863687,-117.4691401,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',
594,C2_40,Tectonic,"Source: Ridgecrest 2019; Measurement of left-lateral on opening in right step on crack.  Zone of cracks extends 10's of meters in either direction, consists of cracks and disrupted soil. ",,Left,,,,25.0,Offset,0.0,,,Crack(s),,30.0,,25.0,0.0,3.0,2.0,4.0,,3.0,2.0,4.0,,,,,,2019-07-17T10:16:38-07,T. Dawson,,,,,,,,,No,No,,,,,,,,,,,,Natural,,35.62744455,-117.4628099,CGS,At Site,,35.62744455,-117.4628099,7.1,"T. Dawson/CGS
M. DeFrisco/CGS",'07/17-2',
595,C2_18,Tectonic,Source: Ridgecrest 2019; JLWP-159. Minor fault in left stepping zone up to 50 cm wide. up to 1 cm down to west. Horizontal slip is a minimum. On remote sensing lineament.,,Right,West,,,55.0,Offset,,,,,0.5,,,,,,,,,,2.5,,,,1.0,,,2019-07-17T10:25:14-07,B. Swanson,,,,,,,,,No,No,,,,,,,,,,,,,,35.63796162,-117.4701668,CGS,At Site,,35.63796162,-117.4701668,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',Separation
596,C2_41,Tectonic,"Source: Ridgecrest 2019; Zone of right-stepping en echelon cracks, definite component of left-lateral, based of openings and compressional steps.  Cracks may have up to 3-4 cm left lateral, although based on size of compressional areas, looks like that is a minimum. ",,Left,,,,,,,,,En_echelon,,,,,,,,,,,3.0,4.0,,,,,,2019-07-17T10:26:53-07,T. Dawson,,,,,,,,,No,No,,,,,,,,,,,,,,35.62796289,-117.4624804,CGS,At Site,,35.62796289,-117.4624804,7.1,"T. Dawson/CGS
M. DeFrisco/CGS",'07/17-2',
597,C2_19,Tectonic,Source: Ridgecrest 2019; Minor fault in left stepping zone 2-3 m wide.,,Right,,,,35.0,Offset,,,,,,2.0,3.0,35.0,,2.5,,,,2.5,,,,,,,,2019-07-17T10:33:30-07,B. Swanson,,,,,,,,,No,No,,,,,,,,,,,,,,35.63750288,-117.4700181,CGS,At Site,,35.63750288,-117.4700181,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',
598,C2_20,Tectonic,Source: Ridgecrest 2019; 5 m long minor fault trends N22E and dies out into hill to south. left-stepping zone,,Right,,,22.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2019-07-17T10:40:23-07,B. Swanson,,,,,,,,,No,No,,,,,,,,,,,,,,35.63730352,-117.4698133,CGS,At Site,,35.63730352,-117.4698133,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',
599,C2_22,Tectonic,"Source: Ridgecrest 2019; Rupture transitions south from bedrock and tufa which is disrupted along zone into alluvium where it is more discrete. Vertical component up to 5 cm, lateral component vague. 2nd strand to east and 3rd strand farther east near remote sensing lineament - JH. Rupture width is 20 m west of main trace to south.",,,,,,,,,,,,20.0,,,,,,,,,,,,5.0,,,,,2019-07-17T10:50:12-07,B. Swanson,,,,,,,,,No,No,,,,,,,,,,,,,,35.63667818,-117.4699146,CGS,At Site,,35.63667818,-117.4699146,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',Separation
600,PB1011 (C1_758),Tectonic,"Source: Ridgecrest 2019; Apparent minor slip, approximately. 1 cm. N68E strike. En-echelon right stepping faults.",,Left,,,,,,,,,En echelon,,,,,,,,,,1.0,,,,,,,,2019-07-17T10:52:19-07,P. Burgess,,,,,,,,,,,,,,,,,,,,,,Natural,,35.64625656,-117.4614122,CGS,At Site,Soil,35.64625656,-117.4614122,7.1,"S. Bennett/USGS
P. Burgess/CGS
B. Olson/CGS",'07/17-4',
601,PB1012 (C1_759),Tectonic,Source: Ridgecrest 2019; Approx. 3 cm maximum vertical.,,Left - Normal,,,,15.0,Offset,,,,,,,,,,5.800000191,,,,5.0,,,,,3.0,,,2019-07-17T10:56:48-07,P. Burgess,,,,,,,,,,,,,,,,,,,,,,Natural,,35.6461906,-117.4617692,CGS,At Site,Soil,35.6461906,-117.4617692,7.1,"S. Bennett/USGS
P. Burgess/CGS
B. Olson/CGS",'07/17-4',Separation
602,C2_23,Tectonic,"Source: Ridgecrest 2019; Series of pop ups due to left stepping fault. Good offset observed on road margin. Rupture width 5-10 cm, mole track, steps width increases to 45 cm",,Right - Reverse,,,,,Separation,,,,Scarp,,0.050000001,0.100000001,,,,,,,16.0,13.0,19.0,,,,,,2019-07-17T11:01:11-07,T. Ladinsky,,,,5.0,,,,5.0,No,No,,,,,,,,,,,,Cultural,,35.64254024,-117.4742004,CGS,At Site,Road edge,35.64254024,-117.4742004,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',
603,C2_24,Tectonic,Source: Ridgecrest 2019; Left stepping zone cuts through tufa. Local vertical component down to W up to 10 cm. Lateral separation vague but at least 5 cm,,Right - Normal ,West,,,313.0,Offset,,,,,,,,,,,,,,,5.0,,,,10.0,,,2019-07-17T11:01:54-07,B. Swanson,,,,,,,,,No,No,,,,,,,,,,,,,,35.63627845,-117.4695968,CGS,At Site,,35.63627845,-117.4695968,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',Separation
604,PB1015 (C1_762),Tectonic,Source: Ridgecrest 2019; Very approximate 4 cm.,,Left,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,2019-07-17T11:26:17-07,P. Burgess,,,,,,,,,,,,,,,,,,,,,,Natural,,35.64211812,-117.4616913,CGS,At Site,Soil,35.64211812,-117.4616913,7.1,"S. Bennett/USGS
P. Burgess/CGS
B. Olson/CGS",'07/17-4',
605,C2_28,Tectonic,"Source: Ridgecrest 2019; Ridge line trending N30W displaced right-laterally, with additional minor offsets to NW and en echelon offset farther NW, left stepping.",,Right,,,,,,,,,En_echelon,,,,,,,,,,30.0,,,,,,,,2019-07-17T11:31:58-07,B. Swanson,,,,,,,,,No,No,,,,,,,,,,,,,,35.63838021,-117.4710053,CGS,At Site,,35.63838021,-117.4710053,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',
606,BO2002 (C1_746),Tectonic,Source: Ridgecrest 2019; General offset on the order of 5-15 cm,,Right,,73.0,,,Separation,,,,,,,,,,,,,,,5.0,15.0,,,,,,2019-07-17T11:35:57-07,B. Olson,,,,,,,,,,,,,,,,,,,,,,Natural,,35.64085241,-117.4623588,CGS,At Site,Stream channel bottom,35.64085241,-117.4623588,7.1,"S. Bennett/USGS
P. Burgess/CGS
B. Olson/CGS",'07/17-4',
607,PB1016 (C1_763),Tectonic,Source: Ridgecrest 2019; Very approximate 4 cm offset.,,Right,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,2019-07-17T11:40:41-07,P. Burgess,,,,,,,,,,,,,,,,,,,,,,Natural,,35.640471,-117.4611684,CGS,At Site,Soil,35.640471,-117.4611684,7.1,"S. Bennett/USGS
P. Burgess/CGS
B. Olson/CGS",'07/17-4',
608,C2_29,Tectonic,Source: Ridgecrest 2019; nan,,Right,,,,,Separation,,,,,,,,,,,,,,18.0,10.0,26.0,,,,,,2019-07-17T11:42:16-07,T. Ladinsky,,,,,,,,,No,No,,,,,,,,,,,,Natural,,35.64244971,-117.4741037,CGS,At Site,Edge of arroyo ,35.64244971,-117.4741037,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',
609,7.1-002 (C1_764),Tectonic,Source: Ridgecrest 2019; East margin of broad zone of right-lateral faults over 30 m wide. Minimum slip 6 cm on one strand.,,Right,,,,,,,,,Zone of deformation,30.0,,,,,,,,,,6.0,,,,,,,2019-07-17T11:44:49-07,B. Swanson,,,,,,,,,,,,,,,,,,,,,,,,35.63881033,-117.471246,CGS,At Site,,35.63881033,-117.471246,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',
610,7.1-003 (C1_765),Tectonic,Source: Ridgecrest 2019; Left stepping right-lateral zone with local down to west component. Channel N65E offset 30 cm +/- 5 cm. Fault N12W.,,Right,West,,,,Separation,,,,Zone of deformation,,,,,,,,,,30.0,25.0,35.0,,,,,,2019-07-17T11:48:41-07,B. Swanson,,,,,,,,,,,,,,,,,,,,,,Natural,,35.63915881,-117.4715834,CGS,At Site,Channel ,35.63915881,-117.4715834,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',
611,C2_47,Tectonic,"Source: Ridgecrest 2019; 1.3 m right-lateral offset channel along the fault, 320 azimuth. Paleo offset. Tufa/carbonates along fault. Local small pressure ridges along fault. ",,Right,,,,,Separation,,,,,,,,,,,,,,130.0,,,,,,,,2019-07-17T11:56:12-07,T. Dawson,,,,,,,,,No,No,,,,,,,,,,,,Natural,,35.62816368,-117.4355816,CGS,At Site,Channel,35.62816368,-117.4355816,7.1,"T. Dawson/CGS
M. DeFrisco/CGS",'07/17-2',
612,7.1-004 (C1_766),Tectonic,Source: Ridgecrest 2019; Fault left steps through saddle with up to 5 cm down to west vertical component. Lateral uncertain. Long term 22 m right-lateral offset of south side of bedrock outcrop. Local trend N7W,,Right,West,,353.0,,,,,,,,,,,,,,,,,,,,,5.0,,,2019-07-17T11:57:08-07,B. Swanson,,,,,,,,,,,,,,,,,,,,,,,,35.63985912,-117.4717809,CGS,At Site,,35.63985912,-117.4717809,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',Separation
613,C2_31,Tectonic,Source: Ridgecrest 2019; Prominent strand,,Right,,,,,Separation,,,,Scarp,,,,,,,,,,23.0,15.0,31.0,,,,,,2019-07-17T12:10:40-07,T. Ladinsky,,,,,,,,,No,No,,,,,,,,,,,,Natural,,35.64364489,-117.4753522,CGS,At Site,Drainage margin,35.64364489,-117.4753522,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',
614,C2_48,Tectonic,Source: Ridgecrest 2019; Channel center ,,Right,,,,315.0,Offset,,,,Scarp,1.0,,,,,,,,,55.0,30.0,80.0,,,,,,2019-07-17T12:12:46-07,T. Dawson,,,,,,,,,No,No,,,,,,,,,,20.0,,Natural,,35.62795736,-117.4353146,CGS,At Site,Channel,35.62795736,-117.4353146,7.1,"T. Dawson/CGS
M. DeFrisco/CGS",'07/17-2',
615,C2_32,Tectonic,Source: Ridgecrest 2019; nan,,Right,,,,,Separation,,,,Scarp,0.75,0.5,1.0,,,,,,,55.0,47.0,63.0,,,,,,2019-07-17T12:23:48-07,T. Ladinsky,,,,,,,,,No,No,,,,,,,,,,,,Natural,,35.64443404,-117.4768072,CGS,At Site,Offset drainage,35.64443404,-117.4768072,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',
616,PB1018 (C1_796),Tectonic,Source: Ridgecrest 2019; Approximate 6 cm vertical.,,Right - Normal ,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,2019-07-17T12:51:12-07,P. Burgess,,,,,,,,,,,,,,,,,,,,,,Natural,,35.63935947,-117.4584733,CGS,At Site,Soil,35.63935947,-117.4584733,7.1,"S. Bennett/USGS
P. Burgess/CGS
B. Olson/CGS",'07/17-4',Separation
617,PB1019 (C1_797),Tectonic,Source: Ridgecrest 2019; 91 cm minimum to 102 cm maximum.,,Right,,,,300.0,Offset,,,,,,,,,,,,,,,91.0,102.0,,,,,,2019-07-17T13:09:28-07,P. Burgess,,,,,,,,,,,,,,,,,,,,,,Natural,,35.63868238,-117.4567842,CGS,At Site,Channel in desert pavement.,35.63868238,-117.4567842,7.1,"S. Bennett/USGS
P. Burgess/CGS
B. Olson/CGS",'07/17-4',
618,PB1021 (C1_799),Tectonic,Source: Ridgecrest 2019; Meter scale mole tracks observed in anastomosing transpression zone. E boundary of observed fault zone. 42cm +/- 5 cm perpendicular. Trend of trail is 82W. Fault trend is N55W.,,Right,,,,,Separation,,,,Mole track,,,,,,,,,,42.0,37.0,47.0,,,,,,2019-07-17T13:39:28-07,P. Burgess,,,,,,,,,,,,,,,,,,,,,,Natural,,35.63781402,-117.4546164,CGS,At Site,Soil,35.63781402,-117.4546164,7.1,"S. Bennett/USGS
P. Burgess/CGS
B. Olson/CGS",'07/17-4',
619,PB1022 (C1_800),Tectonic,Source: Ridgecrest 2019; 45 +/- 10 cm displacement on channel in desert pavement. Local fault trend is N55W. Channel is N85E.,,Right,,,,,Separation,,,,,,,,,,,,,,45.0,35.0,55.0,,,,,,2019-07-17T13:58:28-07,P. Burgess,,,,,,,,,,,,,,,,,,,,,,Natural,,35.63648875,-117.450941,CGS,At Site,Channel,35.63648875,-117.450941,7.1,"S. Bennett/USGS
P. Burgess/CGS
B. Olson/CGS",'07/17-4',
620,7.1-010 (C1_772),Tectonic,"Source: Ridgecrest 2019; Right-lateral offset, 25 cm minimum +/- 10 cm. Fissure up to 1.25 m deep in tensional step over. Local fault trend N45W. Slip vector vague, but presumed vector results in minimum slip.",,Right,,,315.0,,Separation,,,,,,,,,,,,,,25.0,15.0,35.0,,,,,,2019-07-17T14:21:39-07,B. Swanson,,,,,,,,,,,,,,,,,,,,,,Natural,,35.64483126,-117.4774713,CGS,At Site,Channel ,35.64483126,-117.4774713,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',
621,PB1023 (C1_801),Tectonic,Source: Ridgecrest 2019; 91 cm +/- 10 cm. 80 cm perpendicular to single track. Single track is 82E. 10 cm +/- 5 cm vertical offset.,,Right,,,,,Separation,,,,,,,,,,,,,,91.0,81.0,101.0,10.0,5.0,15.0,,,2019-07-17T14:22:59-07,P. Burgess,,,,,,,,,,,,,,,,,,,,,,Natural,,35.63545321,-117.448093,CGS,At Site,Single track in desert pavement.,35.63545321,-117.448093,7.1,"S. Bennett/USGS
P. Burgess/CGS
B. Olson/CGS",'07/17-4',Separation
622,7.1-011 (C1_773),Tectonic,"Source: Ridgecrest 2019; Main trace 28 +/-5 cm right-lateral, fault trend 303, vertical 7 +/-2 cm down to east. Channel trend 028. Slip is minimum due to additional fractures to west, 36 m wide, including conjugate fractures N2E and N80W.",,Right,East,,,,Separation,,,,,36.0,,,,,,,,,28.0,26.0,30.0,7.0,5.0,9.0,,,2019-07-17T14:36:50-07,B. Swanson,,,,,,,,,,,,,,,,,,,,,,Natural,,35.64541686,-117.478508,CGS,At Site,Channel ,35.64541686,-117.478508,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',Separation
623,7.1-012 (C1_774),Tectonic,"Source: Ridgecrest 2019; Tensional minor fault down to NE up to 6 cm vertical component, lateral component uncertain. Marking opposite side of apparent graben to NE (see Tyler Ladinsky station). Local trend N27W, graben 33 m wide, plus additional fractures on both sides = 46 m total.",,Normal,East,,333.0,,,,,,,46.0,,,,,,,,,,,,,,6.0,,,2019-07-17T14:48:44-07,B. Swanson,,,,,,,,,,,,,,,,,,,,,,,,35.64555236,-117.4791883,CGS,At Site,,35.64555236,-117.4791883,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',Separation
624,C2_50,Tectonic,Source: Ridgecrest 2019; No measurable lateral offset; parallel subsidiary trace ~5m to the east-small vertical offset <5cm,,Normal,West,,,,,,,,,5.0,,,,,,,,,,,,20.0,16.0,24.0,,,2019-07-17T14:51:50-07,T. Ladinsky,,,,,,,,,No,No,,,,,,,,,,,,,,35.64568106,-117.4788676,CGS,At Site,,35.64568106,-117.4788676,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',Separation
625,Placemark 2,Tectonic,"Source: Ridgecrest 2019; Fault offset in tufa rock, 15 cm @ N35W",,Right,,,,325.0,Offset,,,,,,,,325.0,,15.0,,,,15.0,,,,,,,,2019-07-17T14:59:22-07,B. Olson,,,,,,,,,,,,,,,,,,,,,,Natural,,35.63211316,-117.4410962,CGS,At Site,Tufa,35.63211316,-117.4410962,7.1,"S. Bennett/USGS
P. Burgess/CGS
B. Olson/CGS",'07/17-4',
626,C2_51,Tectonic,"Source: Ridgecrest 2019; No measurable lateral offset, vertical deformation observed. Appears all vertical offset. Road crossing to the south displays nil lateral displacement, apparent localized graben.",,Normal,West,,,,,,,,Scarp,,,,,,,,,,,,,40.0,36.0,44.0,,,2019-07-17T15:04:34-07,T. Ladinsky,,,,,,,,,No,No,,,,,,,,,,,,,,35.64603046,-117.4791671,CGS,At Site,,35.64603046,-117.4791671,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',Separation
627,7.1-014 (C1_776),Tectonic,"Source: Ridgecrest 2019; Minor tensional fault trending N25W on SW margin of 90 m wide zone of fractures in apparent graben zone, up to 3 cm of down to NE separation, lateral separation appears minor. Internal fractures dominantly N30-75W trending.",,Extensional,East,,,,,,,,Zone of deformation,90.0,,,,,,,,,,,,,,3.0,,,2019-07-17T15:05:18-07,B. Swanson,,,,,,,285.0,330.0,,,,,,,,,,,,,,,,35.64567201,-117.4800353,CGS,At Site,,35.64567201,-117.4800353,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',Separation
628,PB1024 (C1_794),Tectonic,Source: Ridgecrest 2019; Vertical offset on the order of 10-20 cm. No lateral offset observed.,,Normal,,,,,,,,,,,,,,,,,,,,,,15.0,10.0,20.0,,,2019-07-17T15:15:19-07,P. Burgess,,,,,,,,,,,,,,,,,,,,,,,,35.63114353,-117.4392782,CGS,At Site,,35.63114353,-117.4392782,7.1,"S. Bennett/USGS
P. Burgess/CGS
B. Olson/CGS",'07/17-4',Separation
629,7.1-015 (C1_777),Tectonic,"Source: Ridgecrest 2019; Berm offset 60 +/-10 cm right-lateral, down to SW vertical component 30 cm +/-8 cm. Lateral channel offset vague due to disturbance, vertical component 34 +/- 5 cm. Fault trends N36W. berm and channel trend N38E.",,Right,West,,,,Separation,,,,,,,,,,,,,,60.0,50.0,70.0,30.0,22.0,39.0,,,2019-07-17T15:16:38-07,B. Swanson,,,,,,,,,,,,,,,,,,,,,,,,35.64657759,-117.4797213,CGS,At Site,Berm and adjacent drainage channel ,35.64657759,-117.4797213,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',Separation
630,7.1-016 (C1_778),Tectonic,"Source: Ridgecrest 2019; Fault trend 330. Asphalt offset 68 +/-10 cm right-lateral, vertical component 30 +/-5 cm down to SW. NW road berm trending N68E offset 81+/-10 cm, vertical 25+10/-5 cm.",,Right,West,,,,,,,,,,,,,,,,,,,58.0,91.0,,20.0,35.0,,,2019-07-17T15:33:37-07,B. Swanson,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.64678458,-117.4799246,CGS,At Site,Road berm and edge of asphalt.,35.64678458,-117.4799246,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',Separation
631,7.1-017 (C1_779),Tectonic,"Source: Ridgecrest 2019; NE margin of fault zone. trending N27W, down to SW 3-25 cm, lateral uncertain.",,Normal,West,,,,,,,,,,,,,,,,,,,,,,3.0,25.0,,,2019-07-17T15:56:43-07,B. Swanson,,,,,,,,,,,,,,,,,,,,,,,,35.64771933,-117.4808036,CGS,At Site,,35.64771933,-117.4808036,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',Separation
632,PB1025 (C1_802),Tectonic,Source: Ridgecrest 2019; 25 cm +/- 5 cm offset in north and south edges of gravel roadway edges.,,Right,,,,,Separation,,,,,,,,,,,,,,25.0,20.0,30.0,,,,,,2019-07-17T16:00:35-07,P. Burgess,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.62896797,-117.4370171,CGS,At Site,Roadway,35.62896797,-117.4370171,7.1,"S. Bennett/USGS
P. Burgess/CGS
B. Olson/CGS",'07/17-4',
633,C2_52,Tectonic,"Source: Ridgecrest 2019; Measurements approximately  25 cm right-lateral, 10 cm vertical.",,Right - Normal ,West,,,,Separation,,,,,,,,,,,,,,25.0,15.0,35.0,10.0,5.0,15.0,,,2019-07-17T16:04:32-07,T. Ladinsky,,,,,,,,,No,No,,,,,,,,,,,,Natural,,35.64810846,-117.4811151,CGS,At Site,"Offset berm and channel, heavily degraded by previous workers",35.64810846,-117.4811151,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',Separation
634,C2_53,Tectonic,Source: Ridgecrest 2019; Antithetical trace,,Left - Normal,East,,,,Separation,,,,Crack(s),,,,,,,,,,3.0,2.0,4.0,,,,,,2019-07-17T16:15:46-07,T. Ladinsky,,,,,,,,,No,No,,,,,,,,,,,,Cultural,,35.64841193,-117.4815346,CGS,At Site,Tire tracks,35.64841193,-117.4815346,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',
635,7.1-018 (C1_780),Tectonic,"Source: Ridgecrest 2019; Road (inner side of northern track) offset right-laterally along two primary strands, with cumulative separation of 46 +/-8 cm. Vertical component down to SW very approximate 10 cm. Scott GPS'd the track. Fault to SW with small left-lateral component-see Tyler Ladinsky's station.",,Right,West,,,,Separation,,,,,,,,,,,,,,46.0,38.0,54.0,10.0,,,,,2019-07-17T16:18:01-07,B. Swanson,,,,,,,,,,,,,,,,,,,,,,Cultural,,35.64841901,-117.4814319,CGS,At Site,Road tracks ,35.64841901,-117.4814319,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',Separation
636,C2_71,Tectonic,"Source: Ridgecrest 2019; Zig zag cracks, up on west side",,Normal,East,,,,,,,,,,,,,,,,,,,,,4.0,,,,,2019-07-17T16:21:51-07,J. Hernandez,,,,,,,,,No,No,,,,,,,,,,,,Natural,,35.61221744,-117.4707873,CGS,At Site,,35.61221744,-117.4707873,7.1,"T. Dawson/CGS
M. DeFrisco/CGS
J. Hernandez/CGS",'07/17-2',Separation
637,7.1-019 (C1_781),Tectonic,"Source: Ridgecrest 2019; Main strand on NE margin of zone. Local down to SW component up to 15 cm, varying to down to NE.",,Normal,West,,,,,,,,,,,,,,,,,,,,,,,15.0,,,2019-07-17T16:31:44-07,B. Swanson,,,,,,,,,,,,,,,,,,,,,,,,35.64890353,-117.4819798,CGS,At Site,,35.64890353,-117.4819798,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',Separation
638,7.1-021 (C1_783),Tectonic,"Source: Ridgecrest 2019; Fracture trending N-S, with cm scale slip. Approx W margin of distributed deformation SW of main strand.",,Right,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2019-07-17T16:43:56-07,B. Swanson,,,,,,,,,,,,,,,,,,,,,,,,35.64785264,-117.4816864,CGS,At Site,,35.64785264,-117.4816864,7.1,"J. Hernandez/CGS
T. Ladinsky/CGS
B. Swanson/CGS",'07/17-1',
